_id_,_id2_,comp_mixto1
15937,366551,0.34
86808,1996584,0.248
98115,2256645,0.297
45405,1044315,0.32927999999999996
21574,496202,0.34470000000000006
61649,1417927,0.38
87424,2010752,0.35934000000000005
32588,749524,0.36325999999999997
15844,364412,0.29348
77276,1777348,0.36
45987,1057701,0.36092
72312,1663176,0.37
17691,406893,0.34336
67428,1550844,0.37
90153,2073519,0.362
44209,1016807,0.38
29571,680133,0.36275999999999997
8769,201687,0.34946000000000005
9080,208840,0.36078
86482,1989086,0.30666
22574,519202,0.3148
9435,217005,0.36212
24164,555772,0.38
91254,2098842,0.37138
34124,784852,0.35052
50022,1150506,0.36758
75227,1730221,0.33334
16391,376993,0.38
75883,1745309,0.342
41746,960158,0.33812000000000003
63319,1456337,0.36
66174,1522002,0.31310000000000004
97196,2235508,0.36
14055,323265,0.38
47566,1094018,0.36982
52630,1210490,0.29302
6855,157665,0.32412
4033,92759,0.37
6173,141979,0.33086
10068,231564,0.38
40774,937802,0.37
11231,258313,0.35396000000000005
17671,406433,0.36252
55057,1266311,0.3687
22228,511244,0.29022000000000003
26889,618447,0.37732
17556,403788,0.3369
40535,932305,0.37
62302,1432946,0.36592
5401,124223,0.34318
34993,804839,0.34770000000000006
41651,957973,0.325
32817,754791,0.22769999999999999
71536,1645328,0.31427999999999995
83202,1913646,0.36708
71990,1655770,0.25234
75801,1743423,0.31880000000000003
30261,696003,0.37604
22351,514073,0.38
60738,1396974,0.34014
5038,115874,0.31289999999999996
67039,1541897,0.35894
23324,536452,0.37
72329,1663567,0.39
79578,1830294,0.36998000000000003
95573,2198179,0.38
38956,895988,0.3617
67803,1559469,0.24302
13232,304336,0.26006
51548,1185604,0.2825
21170,486910,0.38
29961,689103,0.28044
37018,851414,0.37820000000000004
28119,646737,0.32224
90791,2088193,0.35984000000000005
29307,674061,0.31012
50285,1156555,0.28014
18136,417128,0.30638
12455,286465,0.36622000000000005
81476,1873948,0.37
34322,789406,0.36260000000000003
97401,2240223,0.29214
45013,1035299,0.28154
41504,954592,0.36
80041,1840943,0.35098
86732,1994836,0.2709
50875,1170125,0.36792
34759,799457,0.31696
32668,751364,0.38
34958,804034,0.32946000000000003
66921,1539183,0.28
8674,199502,0.37058
11222,258106,0.37151999999999996
55645,1279835,0.33182
96262,2214026,0.358
40632,934536,0.2718
39578,910294,0.26308
94913,2182999,0.28572000000000003
73892,1699516,0.3
13411,308453,0.38
1205,27715,0.352
18081,415863,0.36718
76720,1764560,0.37
78948,1815804,0.36428
87728,2017744,0.32
84963,1954149,0.36434000000000005
25010,575230,0.27006
90758,2087434,0.31239999999999996
43641,1003743,0.3348
8752,201296,0.33124000000000003
72477,1666971,0.31662
51662,1188226,0.34332
35117,807691,0.36
8216,188968,0.33932
60409,1389407,0.36451999999999996
46305,1065015,0.38
67183,1545209,0.268
58062,1335426,0.36998000000000003
36160,831680,0.23968
98248,2259704,0.29666
14267,328141,0.38
62573,1439179,0.35366
51370,1181510,0.36216
76044,1749012,0.38
56491,1299293,0.36406
97715,2247445,0.36168
21193,487439,0.38
46204,1062692,0.38
78757,1811411,0.368
76804,1766492,0.337
78684,1809732,0.30551999999999996
40617,934191,0.34
81797,1881331,0.30722000000000005
3824,87952,0.38
3214,73922,0.32296
66150,1521450,0.37
39667,912341,0.24134
28016,644368,0.37
34997,804931,0.37
47728,1097744,0.3795
69496,1598408,0.32942
68542,1576466,0.31677999999999995
79134,1820082,0.35853999999999997
59804,1375492,0.352
82226,1891198,0.32327999999999996
17969,413287,0.29912
15439,355097,0.32258
74634,1716582,0.31462
87942,2022666,0.34
71479,1644017,0.30416
77800,1789400,0.25982
21669,498387,0.23836000000000002
45305,1042015,0.3647
11661,268203,0.36152
87737,2017951,0.37894
5735,131905,0.2909
92756,2133388,0.34
26789,616147,0.28456
29515,678845,0.36594
13513,310799,0.37182
95217,2189991,0.33032
9686,222778,0.2307
46174,1062002,0.33852
81241,1868543,0.35748
41124,945852,0.26882
25179,579117,0.29878
79934,1838482,0.31112
69212,1591876,0.36363999999999996
28307,651061,0.35866
48904,1124792,0.37512
87165,2004795,0.31708
84630,1946490,0.37039999999999995
81631,1877513,0.37
15273,351279,0.34086
19691,452893,0.36992
94485,2173155,0.38
7763,178549,0.34803999999999996
13359,307257,0.33996000000000004
44689,1027847,0.38
76451,1758373,0.3526
92456,2126488,0.31
54217,1246991,0.3528
36291,834693,0.36976
53744,1236112,0.3531
94211,2166853,0.26
5950,136850,0.39
61738,1419974,0.36
2664,61272,0.31257999999999997
86977,2000471,0.38
77833,1790159,0.37998000000000004
77441,1781143,0.33384
2150,49450,0.37
27675,636525,0.366
98122,2256806,0.35822000000000004
14747,339181,0.32484
98180,2258140,0.29925999999999997
71768,1650664,0.24934
36712,844376,0.36125999999999997
57579,1324317,0.32
26982,620586,0.275
11916,274068,0.36966
19424,446752,0.29002
62027,1426621,0.34894
22353,514119,0.29625999999999997
60991,1402793,0.29158
37862,870826,0.38
69320,1594360,0.38
3992,91816,0.30244
2032,46736,0.33986
58287,1340601,0.36
89124,2049852,0.31398000000000004
84318,1939314,0.32652
68926,1585298,0.33115999999999995
1473,33879,0.34196000000000004
98582,2267386,0.32196
50391,1158993,0.28928
24843,571389,0.33718
93721,2155583,0.37
55330,1272590,0.36
6551,150673,0.34832
78037,1794851,0.34482
85203,1959669,0.33903999999999995
15096,347208,0.3292
18211,418853,0.22738
97147,2234381,0.38992
75114,1727622,0.33998
10418,239614,0.33232
72390,1664970,0.36112
66648,1532904,0.28064
1823,41929,0.34
58289,1340647,0.38
81362,1871326,0.36992
36256,833888,0.34
60443,1390189,0.30576
90232,2075336,0.35772000000000004
25450,585350,0.35358000000000006
83742,1926066,0.368
53405,1228315,0.368
42056,967288,0.27512000000000003
69631,1601513,0.37
2933,67459,0.30398000000000003
10248,235704,0.36
63585,1462455,0.28286
37791,869193,0.36826
98182,2258186,0.33670000000000005
20380,468740,0.33103999999999995
62705,1442215,0.37
56477,1298971,0.35874
75707,1741261,0.37
47677,1096571,0.32598
68195,1568485,0.34002
62950,1447850,0.37
58894,1354562,0.29474
75443,1735189,0.31464
9778,224894,0.38
3435,79005,0.3583
87454,2011442,0.28362
48439,1114097,0.2851
96126,2210898,0.3695
93932,2160436,0.36
3619,83237,0.36994
82357,1894211,0.36154
16308,375084,0.30910000000000004
82852,1905596,0.30163999999999996
91977,2115471,0.2849
43056,990288,0.26
5765,132595,0.36178
51959,1195057,0.34
87377,2009671,0.37
82928,1907344,0.36876
43789,1007147,0.3491
36824,846952,0.38
27269,627187,0.30178
50569,1163087,0.33334
92549,2128627,0.35246000000000005
69040,1587920,0.38
